Format Version,1.24,Take Name,Emma_take02_walk,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-01 10.23.18.425 AM,Capture Start Frame,231363,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Emma:Hip,Emma:Hip,Emma:Hip,Emma:Hip,Emma:Hip,Emma:Hip,Emma:Hip,Emma:LThigh,Emma:LThigh,Emma:LThigh,Emma:LThigh,Emma:LThigh,Emma:LThigh,Emma:LThigh,Emma:LShin,Emma:LShin,Emma:LShin,Emma:LShin,Emma:LShin,Emma:LShin,Emma:LShin,Emma:LFoot,Emma:LFoot,Emma:LFoot,Emma:LFoot,Emma:LFoot,Emma:LFoot,Emma:LFoot,Emma:LToe,Emma:LToe,Emma:LToe,Emma:LToe,Emma:LToe,Emma:LToe,Emma:LToe,Emma:RThigh,Emma:RThigh,Emma:RThigh,Emma:RThigh,Emma:RThigh,Emma:RThigh,Emma:RThigh,Emma:RShin,Emma:RShin,Emma:RShin,Emma:RShin,Emma:RShin,Emma:RShin,Emma:RShin,Emma:RFoot,Emma:RFoot,Emma:RFoot,Emma:RFoot,Emma:RFoot,Emma:RFoot,Emma:RFoot,Emma:RToe,Emma:RToe,Emma:RToe,Emma:RToe,Emma:RToe,Emma:RToe,Emma:RToe,Emma:LANK,Emma:LANK,Emma:LANK,Emma:LASI,Emma:LASI,Emma:LASI,Emma:LHEE,Emma:LHEE,Emma:LHEE,Emma:LKNE,Emma:LKNE,Emma:LKNE,Emma:LPSI,Emma:LPSI,Emma:LPSI,Emma:LTHI,Emma:LTHI,Emma:LTHI,Emma:LTIB,Emma:LTIB,Emma:LTIB,Emma:LTOE,Emma:LTOE,Emma:LTOE,Emma:RANK,Emma:RANK,Emma:RANK,Emma:RASI,Emma:RASI,Emma:RASI,Emma:RHEE,Emma:RHEE,Emma:RHEE,Emma:RKNE,Emma:RKNE,Emma:RKNE,Emma:RPSI,Emma:RPSI,Emma:RPSI,Emma:RTHI,Emma:RTHI,Emma:RTHI,Emma:RTIB,Emma:RTIB,Emma:RTIB,Emma:RTOE,Emma:RTOE,Emma:RTOE
,ID,"78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","E2BC9456269711F0BD9122A53CA8B48A","E2BC9456269711F0BD9122A53CA8B48A","E2BC9456269711F0BD9122A53CA8B48A","E2BC9449269711F0BD9122A53CA8B48A","E2BC9449269711F0BD9122A53CA8B48A","E2BC9449269711F0BD9122A53CA8B48A","E2BC9455269711F0BD9122A53CA8B48A","E2BC9455269711F0BD9122A53CA8B48A","E2BC9455269711F0BD9122A53CA8B48A","E2BC9450269711F0BD9122A53CA8B48A","E2BC9450269711F0BD9122A53CA8B48A","E2BC9450269711F0BD9122A53CA8B48A","E2BC9452269711F0BD9122A53CA8B48A","E2BC9452269711F0BD9122A53CA8B48A","E2BC9452269711F0BD9122A53CA8B48A","E2BC9451269711F0BD9122A53CA8B48A","E2BC9451269711F0BD9122A53CA8B48A","E2BC9451269711F0BD9122A53CA8B48A","E2BC9457269711F0BD9122A53CA8B48A","E2BC9457269711F0BD9122A53CA8B48A","E2BC9457269711F0BD9122A53CA8B48A","E2BC9454269711F0BD9122A53CA8B48A","E2BC9454269711F0BD9122A53CA8B48A","E2BC9454269711F0BD9122A53CA8B48A","E2BC944A269711F0BD9122A53CA8B48A","E2BC944A269711F0BD9122A53CA8B48A","E2BC944A269711F0BD9122A53CA8B48A","E2BC9448269711F0BD9122A53CA8B48A","E2BC9448269711F0BD9122A53CA8B48A","E2BC9448269711F0BD9122A53CA8B48A","E2BC944F269711F0BD9122A53CA8B48A","E2BC944F269711F0BD9122A53CA8B48A","E2BC944F269711F0BD9122A53CA8B48A","E2BC944C269711F0BD9122A53CA8B48A","E2BC944C269711F0BD9122A53CA8B48A","E2BC944C269711F0BD9122A53CA8B48A","E2BC9453269711F0BD9122A53CA8B48A","E2BC9453269711F0BD9122A53CA8B48A","E2BC9453269711F0BD9122A53CA8B48A","E2BC944D269711F0BD9122A53CA8B48A","E2BC944D269711F0BD9122A53CA8B48A","E2BC944D269711F0BD9122A53CA8B48A","E2BC944B269711F0BD9122A53CA8B48A","E2BC944B269711F0BD9122A53CA8B48A","E2BC944B269711F0BD9122A53CA8B48A","E2BC944E269711F0BD9122A53CA8B48A","E2BC944E269711F0BD9122A53CA8B48A","E2BC944E269711F0BD9122A53CA8B48A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003158,0.721663,-0.005470,0.692215,0.008151,0.861481,-0.019532,-0.012378,0.709846,0.005842,0.704224,0.004606,0.860449,-0.104571,0.137964,0.694788,-0.145547,0.690689,0.013754,0.506032,-0.101330,-0.039615,0.633935,-0.056310,0.770316,-0.128306,0.173436,-0.097110,-0.039615,0.633935,-0.056310,0.770316,-0.005059,0.117310,-0.065126,-0.186455,0.698738,0.139583,0.676400,0.011697,0.862514,0.065507,-0.105532,0.710311,0.056357,0.693646,0.171030,0.546432,0.085777,-0.148963,0.737264,0.136139,0.644762,0.253533,0.195097,0.109772,-0.148963,0.737264,0.136139,0.644762,0.391606,0.194432,0.092505,-0.121394,0.162904,-0.131106,0.107644,0.931867,-0.156509,-0.207650,0.125391,-0.099464,0.006667,0.499148,-0.149864,-0.093215,0.970814,-0.102539,0.051270,0.740798,-0.199553,-0.069550,0.282247,-0.149899,0.017961,0.116403,-0.060376,0.254079,0.198243,0.146764,0.116014,0.934282,0.106545,0.205629,0.115516,0.102932,0.181442,0.542610,0.144058,-0.102383,0.961206,0.063860,0.146744,0.667643,0.168949,0.203517,0.417717,0.161683,0.413208,0.208439,0.088730
1,0.008333,-0.002520,0.722889,-0.005762,0.690936,0.007774,0.860219,-0.018574,-0.009279,0.710902,0.004421,0.703216,0.003927,0.859231,-0.103600,0.143134,0.695010,-0.149541,0.688557,0.010809,0.504756,-0.101202,-0.037074,0.634094,-0.058318,0.770162,-0.135636,0.174065,-0.097313,-0.037074,0.634094,-0.058318,0.770162,-0.012749,0.117114,-0.065407,-0.188523,0.700490,0.141457,0.673619,0.011622,0.861207,0.066452,-0.111931,0.711922,0.062152,0.690489,0.172833,0.546048,0.086239,-0.157350,0.740735,0.141997,0.637487,0.261521,0.196217,0.110139,-0.157350,0.740735,0.141997,0.637487,0.399310,0.198334,0.090844,-0.129063,0.163252,-0.131203,0.107516,0.931018,-0.155481,-0.215239,0.125991,-0.099757,0.002098,0.498362,-0.149875,-0.093787,0.969794,-0.101052,0.049260,0.739870,-0.199348,-0.076052,0.282313,-0.150034,0.010141,0.116303,-0.060534,0.264534,0.200575,0.147345,0.116263,0.932611,0.106905,0.217293,0.115962,0.105375,0.181597,0.541387,0.143685,-0.102261,0.959874,0.065135,0.146446,0.665759,0.169304,0.206969,0.418291,0.161504,0.421738,0.213951,0.086225
2,0.016667,-0.001088,0.723713,-0.006483,0.690070,0.007282,0.858988,-0.017598,-0.005426,0.712476,0.002362,0.701672,0.003230,0.858093,-0.102616,0.147654,0.695858,-0.153000,0.685982,0.007147,0.503568,-0.101109,-0.035051,0.633911,-0.058331,0.770406,-0.143100,0.174584,-0.097363,-0.035051,0.633911,-0.058331,0.770406,-0.020384,0.117223,-0.065533,-0.190098,0.701395,0.142863,0.671936,0.011334,0.859884,0.067420,-0.119977,0.712370,0.069962,0.687925,0.173951,0.545432,0.086942,-0.169206,0.745086,0.147637,0.628029,0.270591,0.197697,0.110593,-0.169206,0.745086,0.147637,0.628029,0.407912,0.203175,0.088785,-0.136882,0.163868,-0.131253,0.107305,0.930032,-0.154305,-0.222569,0.126338,-0.099935,-0.002200,0.497675,-0.149858,-0.094195,0.968784,-0.099647,0.047164,0.738872,-0.198999,-0.082561,0.282293,-0.150128,0.002110,0.116160,-0.060698,0.273236,0.202327,0.147538,0.116398,0.931169,0.107458,0.227725,0.116330,0.107626,0.182191,0.540349,0.143391,-0.102080,0.958738,0.066638,0.146539,0.664028,0.169305,0.210254,0.418818,0.161321,0.429491,0.218877,0.083615
3,0.025000,-0.000093,0.725099,-0.006947,0.688610,0.006793,0.857731,-0.016712,-0.001819,0.713548,0.000411,0.700604,0.002398,0.856905,-0.101713,0.152346,0.696159,-0.156567,0.683842,0.003523,0.502357,-0.101017,-0.032804,0.634044,-0.060112,0.770259,-0.150646,0.175190,-0.097534,-0.032804,0.634044,-0.060112,0.770259,-0.028254,0.117102,-0.065773,-0.191057,0.702618,0.144365,0.670063,0.011188,0.858557,0.068290,-0.125144,0.713310,0.075513,0.685438,0.174972,0.544669,0.087142,-0.177169,0.746980,0.152781,0.622326,0.276987,0.198435,0.110228,-0.177169,0.746980,0.152781,0.622326,0.413946,0.206461,0.086979,-0.144036,0.164132,-0.131495,0.106126,0.928358,-0.153793,-0.230700,0.127410,-0.100168,-0.006373,0.496941,-0.149753,-0.094520,0.967721,-0.098247,0.044838,0.737807,-0.198364,-0.088840,0.282416,-0.150209,-0.006128,0.115974,-0.060972,0.279722,0.203309,0.147205,0.116662,0.929778,0.108027,0.235412,0.116353,0.107955,0.183528,0.539370,0.143112,-0.101918,0.957170,0.068131,0.147270,0.662395,0.169240,0.213104,0.419092,0.161253,0.435200,0.222717,0.081542
4,0.033333,0.001010,0.726896,-0.007390,0.686707,0.006389,0.856498,-0.015732,0.002025,0.714812,-0.001683,0.699311,0.001548,0.855760,-0.100710,0.156884,0.696681,-0.159985,0.681490,-0.000313,0.501215,-0.100860,-0.030812,0.633729,-0.061613,0.770482,-0.158245,0.175846,-0.097574,-0.030812,0.633729,-0.061613,0.770482,-0.036168,0.117135,-0.065745,-0.191410,0.703808,0.146069,0.668342,0.011229,0.857237,0.069246,-0.127549,0.714444,0.079067,0.683410,0.175981,0.543797,0.087061,-0.181903,0.747473,0.155739,0.619630,0.280988,0.198399,0.109253,-0.181903,0.747473,0.155739,0.619630,0.417747,0.207925,0.085401,-0.151549,0.164734,-0.131643,0.105040,0.927211,-0.153413,-0.238386,0.128288,-0.100265,-0.010278,0.496445,-0.149540,-0.095183,0.966662,-0.096599,0.043172,0.736826,-0.197861,-0.095025,0.282517,-0.150222,-0.014031,0.115898,-0.060909,0.284254,0.203440,0.146447,0.117096,0.928548,0.108701,0.240132,0.115985,0.107248,0.185433,0.538767,0.142994,-0.101507,0.955439,0.069581,0.148434,0.661126,0.169358,0.215833,0.418735,0.161434,0.438669,0.224592,0.079930
5,0.041667,0.001387,0.728507,-0.006802,0.685003,0.006399,0.855167,-0.014707,0.005891,0.716146,-0.003708,0.697916,0.001161,0.854546,-0.099662,0.161727,0.697201,-0.163673,0.678945,-0.003665,0.500030,-0.100695,-0.028607,0.633631,-0.064570,0.770405,-0.165616,0.176641,-0.097577,-0.028607,0.633631,-0.064570,0.770405,-0.043990,0.117046,-0.065665,-0.192096,0.705123,0.148013,0.666328,0.011637,0.855788,0.070249,-0.127700,0.716022,0.080120,0.681606,0.177621,0.542940,0.087006,-0.183316,0.747738,0.157872,0.618352,0.283268,0.197692,0.108471,-0.183316,0.747738,0.157872,0.618352,0.419915,0.207930,0.084276,-0.158899,0.165461,-0.131817,0.104343,0.926253,-0.152975,-0.246193,0.129623,-0.100249,-0.013979,0.495812,-0.149185,-0.095582,0.965437,-0.095041,0.041442,0.735737,-0.197308,-0.101172,0.282733,-0.150275,-0.021934,0.115633,-0.060796,0.286844,0.202361,0.145662,0.117536,0.927368,0.109530,0.242972,0.114581,0.106413,0.187879,0.538569,0.143078,-0.101306,0.953985,0.071226,0.150302,0.660336,0.169535,0.218445,0.417871,0.161521,0.440671,0.224479,0.078796
