Format Version,1.24,Take Name,Emma_take04_walkH,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-01 10.34.39.225 AM,Capture Start Frame,313059,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,EmmaH:Hip,EmmaH:Hip,EmmaH:Hip,EmmaH:Hip,EmmaH:Hip,EmmaH:Hip,EmmaH:Hip,EmmaH:LThigh,EmmaH:LThigh,EmmaH:LThigh,EmmaH:LThigh,EmmaH:LThigh,EmmaH:LThigh,EmmaH:LThigh,EmmaH:LShin,EmmaH:LShin,EmmaH:LShin,EmmaH:LShin,EmmaH:LShin,EmmaH:LShin,EmmaH:LShin,EmmaH:LFoot,EmmaH:LFoot,EmmaH:LFoot,EmmaH:LFoot,EmmaH:LFoot,EmmaH:LFoot,EmmaH:LFoot,EmmaH:LToe,EmmaH:LToe,EmmaH:LToe,EmmaH:LToe,EmmaH:LToe,EmmaH:LToe,EmmaH:LToe,EmmaH:RThigh,EmmaH:RThigh,EmmaH:RThigh,EmmaH:RThigh,EmmaH:RThigh,EmmaH:RThigh,EmmaH:RThigh,EmmaH:RShin,EmmaH:RShin,EmmaH:RShin,EmmaH:RShin,EmmaH:RShin,EmmaH:RShin,EmmaH:RShin,EmmaH:RFoot,EmmaH:RFoot,EmmaH:RFoot,EmmaH:RFoot,EmmaH:RFoot,EmmaH:RFoot,EmmaH:RFoot,EmmaH:RToe,EmmaH:RToe,EmmaH:RToe,EmmaH:RToe,EmmaH:RToe,EmmaH:RToe,EmmaH:RToe,EmmaH:LANK,EmmaH:LANK,EmmaH:LANK,EmmaH:LASI,EmmaH:LASI,EmmaH:LASI,EmmaH:LHEE,EmmaH:LHEE,EmmaH:LHEE,EmmaH:LKNE,EmmaH:LKNE,EmmaH:LKNE,EmmaH:LPSI,EmmaH:LPSI,EmmaH:LPSI,EmmaH:LTHI,EmmaH:LTHI,EmmaH:LTHI,EmmaH:LTIB,EmmaH:LTIB,EmmaH:LTIB,EmmaH:LTOE,EmmaH:LTOE,EmmaH:LTOE,EmmaH:RANK,EmmaH:RANK,EmmaH:RANK,EmmaH:RASI,EmmaH:RASI,EmmaH:RASI,EmmaH:RHEE,EmmaH:RHEE,EmmaH:RHEE,EmmaH:RKNE,EmmaH:RKNE,EmmaH:RKNE,EmmaH:RPSI,EmmaH:RPSI,EmmaH:RPSI,EmmaH:RTHI,EmmaH:RTHI,EmmaH:RTHI,EmmaH:RTIB,EmmaH:RTIB,EmmaH:RTIB,EmmaH:RTOE,EmmaH:RTOE,EmmaH:RTOE
,ID,"78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","78DF4FC240","7FC980F5269911F0BD9122A53CA8B48A","7FC980F5269911F0BD9122A53CA8B48A","7FC980F5269911F0BD9122A53CA8B48A","7FC980F6269911F0BD9122A53CA8B48A","7FC980F6269911F0BD9122A53CA8B48A","7FC980F6269911F0BD9122A53CA8B48A","7FC980E9269911F0BD9122A53CA8B48A","7FC980E9269911F0BD9122A53CA8B48A","7FC980E9269911F0BD9122A53CA8B48A","7FC980EF269911F0BD9122A53CA8B48A","7FC980EF269911F0BD9122A53CA8B48A","7FC980EF269911F0BD9122A53CA8B48A","7FC980F1269911F0BD9122A53CA8B48A","7FC980F1269911F0BD9122A53CA8B48A","7FC980F1269911F0BD9122A53CA8B48A","7FC980F4269911F0BD9122A53CA8B48A","7FC980F4269911F0BD9122A53CA8B48A","7FC980F4269911F0BD9122A53CA8B48A","7FC980F2269911F0BD9122A53CA8B48A","7FC980F2269911F0BD9122A53CA8B48A","7FC980F2269911F0BD9122A53CA8B48A","7FC980F3269911F0BD9122A53CA8B48A","7FC980F3269911F0BD9122A53CA8B48A","7FC980F3269911F0BD9122A53CA8B48A","7FC980E8269911F0BD9122A53CA8B48A","7FC980E8269911F0BD9122A53CA8B48A","7FC980E8269911F0BD9122A53CA8B48A","7FC980F0269911F0BD9122A53CA8B48A","7FC980F0269911F0BD9122A53CA8B48A","7FC980F0269911F0BD9122A53CA8B48A","7FC980EB269911F0BD9122A53CA8B48A","7FC980EB269911F0BD9122A53CA8B48A","7FC980EB269911F0BD9122A53CA8B48A","7FC980EA269911F0BD9122A53CA8B48A","7FC980EA269911F0BD9122A53CA8B48A","7FC980EA269911F0BD9122A53CA8B48A","7FC980EE269911F0BD9122A53CA8B48A","7FC980EE269911F0BD9122A53CA8B48A","7FC980EE269911F0BD9122A53CA8B48A","7FC980E7269911F0BD9122A53CA8B48A","7FC980E7269911F0BD9122A53CA8B48A","7FC980E7269911F0BD9122A53CA8B48A","7FC980EC269911F0BD9122A53CA8B48A","7FC980EC269911F0BD9122A53CA8B48A","7FC980EC269911F0BD9122A53CA8B48A","7FC980ED269911F0BD9122A53CA8B48A","7FC980ED269911F0BD9122A53CA8B48A","7FC980ED269911F0BD9122A53CA8B48A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.025652,0.759783,-0.019053,0.649391,-0.020822,0.879562,-0.028699,-0.009846,0.733896,-0.016595,0.678988,-0.034725,0.873856,-0.116971,0.231217,0.680470,-0.275387,0.638483,-0.037559,0.523553,-0.103744,0.130204,0.602819,-0.233439,0.751773,-0.278387,0.255594,-0.075001,0.130204,0.602819,-0.233439,0.751773,-0.194380,0.141613,-0.037872,-0.144937,0.744052,0.189689,0.624018,-0.006919,0.885268,0.059572,0.017278,0.767839,-0.004276,0.640395,0.151683,0.574660,0.024029,0.075223,0.816016,0.077256,0.567883,0.140114,0.213466,0.018404,0.075223,0.816016,0.077256,0.567883,0.264117,0.162077,-0.039987,-0.274803,0.243961,-0.114778,0.062115,0.952485,-0.179881,-0.347378,0.265991,-0.072376,-0.031973,0.511900,-0.159191,-0.132660,0.983800,-0.103177,-0.001348,0.754604,-0.207680,-0.183813,0.332901,-0.145457,-0.218508,0.112699,-0.034821,0.144181,0.208116,0.050763,0.102409,0.972904,0.080721,0.060586,0.188022,0.013952,0.163967,0.570800,0.082272,-0.121542,0.979075,0.063027,0.143798,0.698055,0.118102,0.163141,0.435574,0.090047,0.255137,0.124264,-0.045439
1,0.008333,-0.026189,0.758292,-0.017787,0.651147,-0.019584,0.880663,-0.028920,-0.014650,0.731418,-0.012255,0.681661,-0.033072,0.875033,-0.117261,0.234683,0.676694,-0.277865,0.640157,-0.031417,0.524725,-0.103974,0.142187,0.598244,-0.245411,0.749440,-0.274789,0.258923,-0.076654,0.142187,0.598244,-0.245411,0.749440,-0.195036,0.142022,-0.039226,-0.142130,0.742853,0.187369,0.626786,-0.006095,0.886294,0.059420,0.022875,0.766068,-0.008820,0.642292,0.150273,0.574508,0.024292,0.077954,0.815524,0.076313,0.568349,0.133510,0.213519,0.018555,0.077954,0.815524,0.076313,0.568349,0.257265,0.161519,-0.039823,-0.271518,0.249295,-0.116794,0.062472,0.953033,-0.179492,-0.342489,0.275371,-0.074614,-0.021143,0.510505,-0.161193,-0.132152,0.982742,-0.103344,0.003686,0.754352,-0.207977,-0.177789,0.335250,-0.147382,-0.219340,0.112648,-0.036095,0.137148,0.207685,0.051067,0.103099,0.975160,0.080850,0.053402,0.187904,0.013963,0.160963,0.570497,0.082662,-0.120818,0.980564,0.062904,0.142300,0.697775,0.118581,0.158206,0.434819,0.090491,0.248103,0.123911,-0.045478
2,0.016667,-0.027811,0.757530,-0.015906,0.652013,-0.018559,0.881542,-0.028996,-0.021755,0.729953,-0.004309,0.683138,-0.031830,0.875911,-0.117369,0.239553,0.673522,-0.281455,0.640129,-0.022760,0.525692,-0.104744,0.156301,0.593843,-0.261430,0.744698,-0.269621,0.263012,-0.078562,0.156301,0.593843,-0.261430,0.744698,-0.195269,0.142639,-0.041020,-0.138619,0.741720,0.184378,0.629794,-0.005288,0.887172,0.059378,0.028454,0.764181,-0.013100,0.644241,0.148214,0.573915,0.024703,0.079239,0.814966,0.076958,0.568884,0.126396,0.213201,0.018689,0.079239,0.814966,0.076958,0.568884,0.250153,0.161158,-0.039646,-0.266973,0.254649,-0.118941,0.062735,0.953617,-0.179073,-0.336577,0.285002,-0.077222,-0.010481,0.509302,-0.163265,-0.131780,0.981649,-0.103197,0.007770,0.754280,-0.208434,-0.171109,0.337958,-0.149542,-0.219431,0.112926,-0.037627,0.130155,0.207195,0.051149,0.103562,0.977125,0.080868,0.046295,0.187607,0.013855,0.156932,0.569586,0.082875,-0.120214,0.981816,0.063071,0.140218,0.697039,0.119223,0.153126,0.433790,0.090754,0.240880,0.123750,-0.045333
3,0.025000,-0.032072,0.757885,-0.015022,0.651426,-0.017895,0.882124,-0.028436,-0.031331,0.730222,0.009258,0.682428,-0.031257,0.876018,-0.116764,0.246783,0.671833,-0.286268,0.637015,-0.010786,0.526203,-0.106513,0.172382,0.590307,-0.282063,0.736385,-0.262448,0.268039,-0.081126,0.172382,0.590307,-0.282063,0.736385,-0.194763,0.143731,-0.043796,-0.133614,0.742226,0.180344,0.631446,-0.004532,0.888229,0.059893,0.033045,0.763647,-0.016334,0.644581,0.144842,0.572986,0.025196,0.080591,0.814621,0.078759,0.568942,0.118991,0.212545,0.018816,0.080591,0.814621,0.078759,0.568942,0.242770,0.160739,-0.039683,-0.261744,0.260227,-0.121228,0.062640,0.954145,-0.178807,-0.328898,0.295282,-0.080245,0.000708,0.508844,-0.165660,-0.131762,0.980716,-0.102779,0.013071,0.754472,-0.208707,-0.164002,0.341115,-0.151710,-0.219111,0.113115,-0.039877,0.123189,0.206870,0.051141,0.103914,0.978565,0.080836,0.039095,0.187456,0.013853,0.152711,0.568526,0.083128,-0.120313,0.983113,0.063540,0.137969,0.696209,0.119633,0.147941,0.432730,0.090832,0.233572,0.123432,-0.045490
4,0.033333,-0.034989,0.758492,-0.014331,0.650584,-0.017478,0.882814,-0.027899,-0.040319,0.730876,0.022786,0.680937,-0.031002,0.876391,-0.116180,0.252286,0.671550,-0.289344,0.633761,0.000538,0.527331,-0.108607,0.186792,0.586517,-0.300433,0.728592,-0.254480,0.272432,-0.083727,0.186792,0.586517,-0.300433,0.728592,-0.192996,0.144906,-0.046525,-0.128628,0.743157,0.176315,0.632524,-0.003955,0.889236,0.060382,0.037228,0.763540,-0.019386,0.644395,0.141259,0.572068,0.025558,0.082454,0.813857,0.080537,0.569519,0.111681,0.211919,0.018916,0.082454,0.813857,0.080537,0.569519,0.235502,0.160256,-0.039621,-0.256320,0.265806,-0.123515,0.062373,0.954765,-0.178760,-0.318842,0.304399,-0.083398,0.011460,0.509031,-0.167928,-0.132095,0.979972,-0.101938,0.017164,0.755054,-0.209193,-0.156516,0.344798,-0.153927,-0.217848,0.114316,-0.042365,0.115987,0.206583,0.050993,0.104184,0.979540,0.080718,0.031899,0.187127,0.013738,0.148061,0.567389,0.083161,-0.120343,0.984218,0.064309,0.135391,0.695456,0.120030,0.142705,0.431647,0.090579,0.226132,0.123227,-0.045477
5,0.041667,-0.037055,0.759568,-0.013275,0.649236,-0.017139,0.883598,-0.027420,-0.050308,0.731976,0.037509,0.678435,-0.030950,0.877014,-0.115644,0.257793,0.671760,-0.293144,0.629561,0.012710,0.529211,-0.110965,0.193925,0.588902,-0.311769,0.719992,-0.245872,0.277943,-0.085936,0.193925,0.588902,-0.311769,0.719992,-0.187638,0.148607,-0.049767,-0.123713,0.744183,0.172370,0.633384,-0.003329,0.890182,0.060805,0.041500,0.763549,-0.022633,0.644017,0.137767,0.571180,0.025807,0.085111,0.812847,0.082848,0.570238,0.104326,0.211373,0.018979,0.085111,0.812847,0.082848,0.570238,0.228178,0.159866,-0.039629,-0.250785,0.271474,-0.125843,0.061784,0.955493,-0.178861,-0.307679,0.311856,-0.084789,0.022344,0.509626,-0.169882,-0.132638,0.979317,-0.100957,0.021882,0.755509,-0.209740,-0.148541,0.348641,-0.155933,-0.212958,0.120263,-0.045810,0.108820,0.206353,0.050762,0.104244,0.980047,0.080526,0.024583,0.187025,0.013554,0.143487,0.566686,0.083171,-0.119842,0.985311,0.065489,0.132690,0.694875,0.120336,0.137264,0.430951,0.090361,0.218690,0.123096,-0.045666
