Format Version,1.24,Take Name,conventionalLower002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-15 06.03.46.754 PM,Capture Start Frame,638899,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Skeleton 003:Hip,Skeleton 003:Hip,Skeleton 003:Hip,Skeleton 003:Hip,Skeleton 003:Hip,Skeleton 003:Hip,Skeleton 003:Hip,Skeleton 003:LThigh,Skeleton 003:LThigh,Skeleton 003:LThigh,Skeleton 003:LThigh,Skeleton 003:LThigh,Skeleton 003:LThigh,Skeleton 003:LThigh,Skeleton 003:LShin,Skeleton 003:LShin,Skeleton 003:LShin,Skeleton 003:LShin,Skeleton 003:LShin,Skeleton 003:LShin,Skeleton 003:LShin,Skeleton 003:LFoot,Skeleton 003:LFoot,Skeleton 003:LFoot,Skeleton 003:LFoot,Skeleton 003:LFoot,Skeleton 003:LFoot,Skeleton 003:LFoot,Skeleton 003:LToe,Skeleton 003:LToe,Skeleton 003:LToe,Skeleton 003:LToe,Skeleton 003:LToe,Skeleton 003:LToe,Skeleton 003:LToe,Skeleton 003:RThigh,Skeleton 003:RThigh,Skeleton 003:RThigh,Skeleton 003:RThigh,Skeleton 003:RThigh,Skeleton 003:RThigh,Skeleton 003:RThigh,Skeleton 003:RShin,Skeleton 003:RShin,Skeleton 003:RShin,Skeleton 003:RShin,Skeleton 003:RShin,Skeleton 003:RShin,Skeleton 003:RShin,Skeleton 003:RFoot,Skeleton 003:RFoot,Skeleton 003:RFoot,Skeleton 003:RFoot,Skeleton 003:RFoot,Skeleton 003:RFoot,Skeleton 003:RFoot,Skeleton 003:RToe,Skeleton 003:RToe,Skeleton 003:RToe,Skeleton 003:RToe,Skeleton 003:RToe,Skeleton 003:RToe,Skeleton 003:RToe,Skeleton 003:LANK,Skeleton 003:LANK,Skeleton 003:LANK,Skeleton 003:LASI,Skeleton 003:LASI,Skeleton 003:LASI,Skeleton 003:LHEE,Skeleton 003:LHEE,Skeleton 003:LHEE,Skeleton 003:LKNE,Skeleton 003:LKNE,Skeleton 003:LKNE,Skeleton 003:LPSI,Skeleton 003:LPSI,Skeleton 003:LPSI,Skeleton 003:LTHI,Skeleton 003:LTHI,Skeleton 003:LTHI,Skeleton 003:LTIB,Skeleton 003:LTIB,Skeleton 003:LTIB,Skeleton 003:LTOE,Skeleton 003:LTOE,Skeleton 003:LTOE,Skeleton 003:RANK,Skeleton 003:RANK,Skeleton 003:RANK,Skeleton 003:RASI,Skeleton 003:RASI,Skeleton 003:RASI,Skeleton 003:RHEE,Skeleton 003:RHEE,Skeleton 003:RHEE,Skeleton 003:RKNE,Skeleton 003:RKNE,Skeleton 003:RKNE,Skeleton 003:RPSI,Skeleton 003:RPSI,Skeleton 003:RPSI,Skeleton 003:RTHI,Skeleton 003:RTHI,Skeleton 003:RTHI,Skeleton 003:RTIB,Skeleton 003:RTIB,Skeleton 003:RTIB,Skeleton 003:RTOE,Skeleton 003:RTOE,Skeleton 003:RTOE
,ID,"EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","EEB438BCD0","77CE5DC401A711EFBD9122A53CA87B8A","77CE5DC401A711EFBD9122A53CA87B8A","77CE5DC401A711EFBD9122A53CA87B8A","77CE5DCE01A711EFBD9122A53CA87B8A","77CE5DCE01A711EFBD9122A53CA87B8A","77CE5DCE01A711EFBD9122A53CA87B8A","77CE5DCB01A711EFBD9122A53CA87B8A","77CE5DCB01A711EFBD9122A53CA87B8A","77CE5DCB01A711EFBD9122A53CA87B8A","77CE5DC601A711EFBD9122A53CA87B8A","77CE5DC601A711EFBD9122A53CA87B8A","77CE5DC601A711EFBD9122A53CA87B8A","77CE5DCC01A711EFBD9122A53CA87B8A","77CE5DCC01A711EFBD9122A53CA87B8A","77CE5DCC01A711EFBD9122A53CA87B8A","77CE5DC701A711EFBD9122A53CA87B8A","77CE5DC701A711EFBD9122A53CA87B8A","77CE5DC701A711EFBD9122A53CA87B8A","77CE5DC501A711EFBD9122A53CA87B8A","77CE5DC501A711EFBD9122A53CA87B8A","77CE5DC501A711EFBD9122A53CA87B8A","77CE5DCA01A711EFBD9122A53CA87B8A","77CE5DCA01A711EFBD9122A53CA87B8A","77CE5DCA01A711EFBD9122A53CA87B8A","77CE5DD201A711EFBD9122A53CA87B8A","77CE5DD201A711EFBD9122A53CA87B8A","77CE5DD201A711EFBD9122A53CA87B8A","77CE5DCF01A711EFBD9122A53CA87B8A","77CE5DCF01A711EFBD9122A53CA87B8A","77CE5DCF01A711EFBD9122A53CA87B8A","77CE5DD101A711EFBD9122A53CA87B8A","77CE5DD101A711EFBD9122A53CA87B8A","77CE5DD101A711EFBD9122A53CA87B8A","77CE5DC801A711EFBD9122A53CA87B8A","77CE5DC801A711EFBD9122A53CA87B8A","77CE5DC801A711EFBD9122A53CA87B8A","77CE5DCD01A711EFBD9122A53CA87B8A","77CE5DCD01A711EFBD9122A53CA87B8A","77CE5DCD01A711EFBD9122A53CA87B8A","77CE5DC901A711EFBD9122A53CA87B8A","77CE5DC901A711EFBD9122A53CA87B8A","77CE5DC901A711EFBD9122A53CA87B8A","77CE5DD301A711EFBD9122A53CA87B8A","77CE5DD301A711EFBD9122A53CA87B8A","77CE5DD301A711EFBD9122A53CA87B8A","77CE5DD001A711EFBD9122A53CA87B8A","77CE5DD001A711EFBD9122A53CA87B8A","77CE5DD001A711EFBD9122A53CA87B8A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.024942,0.698198,-0.020411,0.715178,-1.271241,0.796009,-0.142996,-0.031522,0.704894,0.044404,0.707219,-1.269160,0.796494,-0.228957,0.088958,0.702204,-0.075868,0.702310,-1.229919,0.432770,-0.235548,-0.011362,0.679265,-0.008673,0.733754,-1.311699,0.089166,-0.242049,-0.011362,0.679265,-0.008673,0.733754,-1.182950,0.033927,-0.230535,-0.041963,0.684547,0.023504,0.727381,-1.273322,0.795525,-0.057034,0.045289,0.682448,-0.058495,0.727181,-1.239790,0.431323,-0.046472,0.006037,0.790904,0.018851,0.611620,-1.291680,0.081928,-0.041536,0.006037,0.790904,0.018851,0.611620,-1.166110,0.028973,-0.076007,-1.310512,0.084768,-0.274519,-1.166159,0.857558,-0.264665,-1.360021,0.059081,-0.232797,-1.232725,0.441477,-0.295449,-1.355814,0.908358,-0.239350,-1.143444,0.633505,-0.243887,-1.230044,0.253957,-0.232382,-1.119331,0.047822,-0.225957,-1.290955,0.081547,-0.007230,-1.172234,0.858701,-0.006455,-1.360177,0.056356,-0.069065,-1.245171,0.419630,0.016232,-1.365953,0.908146,-0.059955,-1.165015,0.522162,-0.056122,-1.234101,0.199472,-0.055253,-1.122630,0.053912,-0.086849
1,0.008333,0.024916,0.698354,-0.020442,0.715026,-1.271179,0.796039,-0.143023,-0.031492,0.704899,0.044373,0.707218,-1.269135,0.796518,-0.228986,0.089005,0.702202,-0.075917,0.702301,-1.229926,0.432791,-0.235577,-0.011301,0.679213,-0.008718,0.733802,-1.311753,0.089198,-0.242076,-0.011301,0.679213,-0.008718,0.733802,-1.183013,0.033940,-0.230545,-0.041900,0.684628,0.023435,0.727310,-1.273223,0.795561,-0.057061,0.045327,0.682522,-0.058559,0.727104,-1.239758,0.431353,-0.046501,0.005939,0.790950,0.018955,0.611559,-1.291698,0.081966,-0.041548,0.005939,0.790950,0.018955,0.611559,-1.166118,0.029048,-0.076040,-1.310504,0.084784,-0.274520,-1.166145,0.857561,-0.264684,-1.360139,0.059132,-0.232855,-1.232737,0.441463,-0.295444,-1.355780,0.908359,-0.239333,-1.143424,0.633534,-0.243856,-1.230148,0.253903,-0.232399,-1.119339,0.047826,-0.225957,-1.290935,0.081560,-0.007245,-1.172040,0.858850,-0.006637,-1.360181,0.056358,-0.069083,-1.245165,0.419625,0.016220,-1.365908,0.908153,-0.059929,-1.164982,0.522177,-0.056136,-1.234110,0.199496,-0.055261,-1.122674,0.054014,-0.086881
2,0.016667,0.024942,0.698331,-0.020442,0.715048,-1.271198,0.796019,-0.143013,-0.031494,0.704924,0.044373,0.707193,-1.269149,0.796501,-0.228975,0.088952,0.702232,-0.075875,0.702283,-1.229939,0.432774,-0.235566,-0.011356,0.679257,-0.008694,0.733761,-1.311720,0.089170,-0.242058,-0.011356,0.679257,-0.008694,0.733761,-1.182972,0.033926,-0.230539,-0.041940,0.684645,0.023482,0.727291,-1.273247,0.795538,-0.057051,0.045353,0.682538,-0.058578,0.727086,-1.239737,0.431334,-0.046494,0.005928,0.790993,0.019055,0.611499,-1.291699,0.081950,-0.041544,0.005928,0.790993,0.019055,0.611499,-1.166117,0.029055,-0.076062,-1.310516,0.084773,-0.274527,-1.166181,0.857549,-0.264707,-1.360022,0.059082,-0.232802,-1.232737,0.441472,-0.295449,-1.355776,0.908350,-0.239327,-1.143430,0.633526,-0.243879,-1.230198,0.253917,-0.232402,-1.119334,0.047813,-0.225959,-1.290942,0.081576,-0.007213,-1.172188,0.858658,-0.006542,-1.360162,0.056350,-0.069067,-1.245162,0.419599,0.016204,-1.365870,0.908149,-0.059923,-1.164734,0.522280,-0.056189,-1.234211,0.199660,-0.055224,-1.122681,0.054023,-0.086910
3,0.025000,0.024916,0.698390,-0.020483,0.714990,-1.271199,0.796034,-0.143016,-0.031472,0.704895,0.044314,0.707226,-1.269164,0.796508,-0.228978,0.088902,0.702202,-0.075850,0.702321,-1.229995,0.432776,-0.235549,-0.011344,0.679306,-0.008633,0.733717,-1.311739,0.089163,-0.242032,-0.011344,0.679306,-0.008633,0.733717,-1.182986,0.033928,-0.230536,-0.041931,0.684673,0.023468,0.727265,-1.273234,0.795560,-0.057053,0.045347,0.682566,-0.058583,0.727060,-1.239735,0.431356,-0.046496,0.005935,0.790989,0.019012,0.611506,-1.291697,0.081971,-0.041538,0.005935,0.790989,0.019012,0.611506,-1.166117,0.029067,-0.076051,-1.310508,0.084781,-0.274536,-1.166210,0.857524,-0.264723,-1.360033,0.059088,-0.232801,-1.232751,0.441465,-0.295449,-1.355776,0.908359,-0.239310,-1.143457,0.633506,-0.243911,-1.230530,0.253834,-0.232131,-1.119331,0.047817,-0.225973,-1.290954,0.081556,-0.007234,-1.172149,0.858889,-0.006610,-1.360168,0.056360,-0.069067,-1.245149,0.419600,0.016237,-1.365824,0.908150,-0.059910,-1.164886,0.522204,-0.056194,-1.234150,0.199515,-0.055216,-1.122670,0.054016,-0.086896
4,0.033333,0.024980,0.698405,-0.020483,0.714973,-1.271176,0.796018,-0.143001,-0.031411,0.704860,0.044274,0.707266,-1.269145,0.796500,-0.228964,0.088933,0.702164,-0.075849,0.702355,-1.230028,0.432762,-0.235543,-0.011326,0.679256,-0.008601,0.733764,-1.311786,0.089153,-0.242046,-0.011326,0.679256,-0.008601,0.733764,-1.183034,0.033920,-0.230537,-0.041937,0.684682,0.023489,0.727255,-1.273207,0.795536,-0.057039,0.045387,0.682573,-0.058608,0.727048,-1.239694,0.431333,-0.046489,0.005976,0.791024,0.019032,0.611460,-1.291688,0.081953,-0.041539,0.005976,0.791024,0.019032,0.611460,-1.166114,0.029046,-0.076071,-1.310518,0.084792,-0.274534,-1.166166,0.857534,-0.264730,-1.360128,0.059111,-0.232834,-1.232776,0.441468,-0.295470,-1.355770,0.908356,-0.239296,-1.143444,0.633480,-0.243940,-1.230597,0.253820,-0.232110,-1.119339,0.047816,-0.225955,-1.290949,0.081593,-0.007211,-1.172102,0.858666,-0.006548,-1.360164,0.056358,-0.069055,-1.245132,0.419625,0.016251,-1.365807,0.908151,-0.059883,-1.164722,0.522275,-0.056171,-1.234126,0.199489,-0.055260,-1.122669,0.054004,-0.086924
5,0.041667,0.024960,0.698483,-0.020488,0.714898,-1.271174,0.796029,-0.143026,-0.031427,0.704938,0.044308,0.707185,-1.269162,0.796508,-0.228989,0.088910,0.702247,-0.075834,0.702278,-1.230020,0.432774,-0.235582,-0.011290,0.679221,-0.008635,0.733796,-1.311759,0.089160,-0.242072,-0.011290,0.679221,-0.008635,0.733796,-1.183014,0.033915,-0.230550,-0.041909,0.684747,0.023456,0.727197,-1.273187,0.795550,-0.057063,0.045364,0.682637,-0.058607,0.726990,-1.239704,0.431344,-0.046514,0.006001,0.791007,0.019007,0.611482,-1.291686,0.081963,-0.041548,0.006001,0.791007,0.019007,0.611482,-1.166114,0.029047,-0.076073,-1.310512,0.084781,-0.274525,-1.166201,0.857532,-0.264759,-1.360126,0.059106,-0.232862,-1.232773,0.441467,-0.295468,-1.355770,0.908356,-0.239286,-1.143466,0.633468,-0.243981,-1.230329,0.253887,-0.232346,-1.119319,0.047801,-0.225955,-1.290776,0.081364,-0.007274,-1.172101,0.858865,-0.006681,-1.360181,0.056373,-0.069079,-1.245114,0.419611,0.016236,-1.365766,0.908154,-0.059863,-1.164926,0.522166,-0.056213,-1.234092,0.199468,-0.055262,-1.122692,0.054004,-0.086905
